Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
7.8,Foggy,Low,Morning,Car,7,4,36
19.04,Rainy,Medium,Morning,Scooter,37,7,102
14.77,Snowy,High,Afternoon,Car,10,8,66
12.17,Rainy,High,Morning,Car,14,10,53
3.54,Clear,High,Morning,Car,9,2,31
3.54,Rainy,High,Night,Scooter,27,9,46
1.63,Rainy,High,Evening,Bike,14,2,32
17.39,Snowy,Medium,Afternoon,Bike,6,2,88
12.22,Rainy,Medium,Night,Scooter,17,5,60
14.31,Snowy,Medium,Morning,Bike,6,0,76
0.9,Clear,Medium,Morning,Car,24,6,28
19.41,Snowy,Low,Afternoon,Bike,5,0,68
16.73,Snowy,Medium,Evening,Car,13,4,63
4.64,Foggy,High,Afternoon,Bike,21,9,43
4.05,Rainy,High,Night,Scooter,13,7,37
4.08,Clear,Medium,Afternoon,Bike,15,3,34
6.43,Snowy,High,Morning,Bike,19,4,62
10.73,Clear,Medium,Night,Bike,28,3,72
8.92,Foggy,High,Morning,Scooter,39,3,77
6.18,Rainy,Low,Evening,Bike,34,7,54
12.43,Snowy,Low,Morning,Scooter,35,1,79
3.22,Rainy,Medium,Morning,Car,9,0,30
6.2,Foggy,Medium,Afternoon,Bike,18,2,38
7.64,Foggy,Medium,Morning,Scooter,15,8,41
9.39,Clear,High,Night,Scooter,13,3,45
15.81,Snowy,Medium,Night,Bike,38,9,111
4.39,Clear,Low,Evening,Car,16,4,30
10.53,Foggy,High,Night,Scooter,39,1,77
12.05,Rainy,Medium,Afternoon,Bike,39,3,79
1.41,Clear,High,Evening,Car,5,1,19
12.35,Clear,High,Night,Scooter,26,1,58
3.83,Rainy,Medium,Afternoon,Scooter,33,3,49
1.77,Clear,High,Night,Car,12,5,24
19.0,Rainy,Low,Night,Car,15,6,83
19.33,Snowy,Low,Morning,Bike,18,9,104
16.26,Rainy,High,Night,Bike,34,2,111
6.44,Snowy,Medium,Night,Scooter,39,2,70
2.4,Rainy,High,Afternoon,Car,25,9,39
13.84,Foggy,Low,Afternoon,Car,9,5,63
9.08,Foggy,High,Morning,Car,23,2,66
2.88,Snowy,High,Night,Scooter,18,1,43
10.16,Snowy,Low,Morning,Car,30,7,72
1.17,Foggy,High,Night,Car,8,4,20
18.23,Snowy,High,Evening,Scooter,29,0,111
5.55,Rainy,Medium,Evening,Bike,29,2,60
13.42,Rainy,Medium,Morning,Bike,22,9,57
