Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min,Is_RushHour,Delivery_Class
6316,11.29,Rainy,Medium,Night,Bike,25,5.0,66.7,0,1
3358,0.79,Clear,High,Afternoon,Bike,19,0.0,42.0,0,1
8814,13.77,Clear,Low,Morning,Bike,12,6.0,47.2,1,1
11067,17.54,Clear,Low,Morning,Bike,14,26.0,56.0,1,1
7018,11.45,Rainy,High,Morning,Scooter,21,4.0,66.1,1,1
8630,15.39,Foggy,Medium,Afternoon,Car,20,7.0,63.1,0,1
7163,9.83,Clear,Low,Afternoon,Scooter,8,3.0,28.6,0,0
497,11.88,Rainy,Medium,Evening,Bike,20,8.0,69.0,1,1
9112,12.81,Rainy,Low,Afternoon,Bike,26,10.0,58.4,0,1
10384,16.39,Clear,Low,Afternoon,Bike,21,23.0,62.7,0,1
2165,2.27,Rainy,Medium,Evening,Bike,20,1.0,46.0,1,1
3813,1.67,Foggy,High,Afternoon,Scooter,16,1.0,40.7,0,1
6807,8.82,Clear,Low,Evening,Scooter,28,5.0,52.5,1,1
7444,10.86,Foggy,Medium,Evening,Scooter,16,3.0,51.1,1,1
9901,13.14,Clear,Low,Afternoon,Bike,21,7.0,52.8,0,1
4299,7.26,Clear,Medium,Morning,Scooter,20,2.0,47.7,1,1
11049,17.12,Windy,Medium,Afternoon,Car,9,27.0,50.1,0,1
7794,11.49,Clear,Medium,Morning,Bike,17,6.0,61.5,1,1
5797,7.95,Rainy,Medium,Evening,Scooter,20,1.0,61.4,1,1
5523,4.01,Clear,Low,Morning,Bike,9,2.0,22.9,1,0
854,18.01,Foggy,High,Night,Bike,14,2.0,71.0,0,2
45,5.55,Foggy,High,Evening,Bike,18,1.0,89.0,1,2
10865,17.53,Clear,Low,Afternoon,Bike,24,25.0,65.9,0,1
9414,14.91,Rainy,Medium,Evening,Scooter,22,9.0,75.4,1,2
401,2.51,Clear,Low,Morning,Bike,16,2.0,28.0,1,0
11744,16.44,Rainy,Medium,Night,Bike,30,19.0,80.8,0,2
9268,15.84,Rainy,Medium,Morning,Bike,14,9.0,69.1,1,1
7617,11.95,Clear,High,Evening,Scooter,18,6.0,59.4,1,1
4071,4.93,Snowy,Low,Evening,Bike,21,1.0,55.1,1,1
5562,5.7,Rainy,Medium,Afternoon,Bike,16,2.0,42.1,0,1
4737,4.26,Clear,Medium,Morning,Scooter,16,1.0,33.3,1,0
11188,18.96,Rainy,Low,Morning,Bike,23,10.0,75.9,1,2
3269,1.15,Rainy,Medium,Night,Bike,18,1.0,39.6,0,0
8316,15.2,Rainy,High,Afternoon,Scooter,12,6.0,64.8,0,1
105,18.2,Windy,Medium,Morning,Bike,27,1.0,89.0,1,2
214,4.87,Snowy,High,Evening,Bike,16,7.0,54.0,1,1
2904,2.01,Clear,Low,Afternoon,Scooter,17,0.0,21.6,0,0
5749,6.06,Clear,Medium,Evening,Scooter,23,2.0,48.6,1,1
8157,12.28,Clear,Medium,Evening,Bike,19,8.0,59.2,1,1
6496,9.25,Clear,Low,Afternoon,Scooter,16,4.0,40.3,0,1
4129,5.28,Clear,Medium,Evening,Scooter,15,1.0,38.8,1,0
4654,7.98,Foggy,Low,Evening,Scooter,18,3.0,40.6,1,1
555,17.59,Clear,Low,Morning,Bike,24,6.0,69.0,1,1
9562,15.23,Clear,High,Morning,Car,16,8.0,62.9,1,1
5271,4.34,Windy,Medium,Morning,Car,15,3.0,35.3,1,0
9179,14.17,Windy,High,Afternoon,Bike,7,7.0,53.1,0,1
5308,5.85,Clear,Medium,Evening,Scooter,9,2.0,28.9,1,0
8045,14.26,Rainy,High,Evening,Car,23,9.0,70.5,1,2
2196,1.13,Clear,High,Afternoon,Car,23,1.0,38.3,0,0
8439,13.08,Snowy,Low,Afternoon,Bike,10,8.0,53.9,0,1
3544,3.52,Clear,High,Morning,Car,13,1.0,40.7,1,1
2141,3.43,Rainy,Medium,Morning,Bike,26,0.0,57.6,1,1
6478,10.98,Clear,High,Afternoon,Scooter,18,6.0,51.9,0,1
566,12.0,Clear,Low,Evening,Car,25,0.0,75.0,1,2
4572,6.75,Rainy,High,Evening,Bike,15,3.0,56.7,1,1
4515,7.76,Clear,Low,Evening,Bike,18,2.0,43.3,1,1
81,17.33,Snowy,Low,Evening,Scooter,12,3.0,79.0,1,2
