Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
1001,1.24,Foggy,Low,Afternoon,Bike,11,1,19.3
1002,0.57,Clear,Low,Night,Bike,11,1,19.0
1003,0.52,Snowy,Medium,Morning,Car,20,1,36.4
1004,0.14,Foggy,Medium,Morning,Bike,22,0,46.3
1005,3.92,Clear,Medium,Evening,Bike,23,0,48.6
1006,2.65,Windy,Medium,Evening,Bike,18,1,44.9
1007,1.35,Foggy,Medium,Afternoon,Bike,20,1,36.7
1008,2.36,Foggy,High,Evening,Scooter,31,0,64.8
1009,2.51,Clear,Medium,Afternoon,Bike,15,0,39.2
1010,0.81,Clear,Medium,Morning,Car,13,1,24.3
1011,1.23,Clear,Low,Evening,Scooter,31,1,40.3
1012,2.23,Windy,Low,Afternoon,Bike,28,0,41.9
1013,3.38,Rainy,Medium,Evening,Car,6,0,33.5
1014,0.61,Snowy,Medium,Evening,Bike,16,0,45.7
1015,3.45,Clear,High,Morning,Scooter,22,1,41.7
1016,2.48,Clear,Medium,Morning,Scooter,12,0,27.0
1017,2.01,Rainy,Low,Evening,Bike,8,1,30.0
1018,0.66,Clear,Low,Evening,Bike,8,1,21.2
1019,2.24,Snowy,Medium,Afternoon,Scooter,19,0,42.4
1020,1.48,Rainy,Low,Evening,Scooter,13,0,24.2
1021,0.84,Foggy,Medium,Afternoon,Scooter,14,1,29.9
1022,3.53,Clear,Medium,Afternoon,Bike,7,1,31.6
1023,1.9,Windy,Medium,Morning,Bike,22,0,38.3
1024,0.41,Snowy,High,Morning,Car,25,1,54.1
1025,1.28,Foggy,Medium,Afternoon,Bike,22,0,47.3
1026,0.81,Clear,Medium,Evening,Car,11,0,25.6
1027,3.76,Clear,High,Evening,Scooter,30,0,56.0
1028,1.05,Clear,Medium,Morning,Scooter,30,0,47.0
1029,2.07,Clear,High,Afternoon,Bike,14,0,36.3
1030,3.01,Rainy,Low,Morning,Car,32,1,50.6
1031,0.72,Foggy,Low,Morning,Car,17,0,27.8
1032,1.81,Windy,Low,Evening,Scooter,9,1,21.7
1033,2.65,Clear,Low,Afternoon,Scooter,19,0,24.5
1034,3.54,Clear,Medium,Morning,Bike,18,1,39.8
1035,2.65,Clear,High,Afternoon,Bike,26,1,54.1
1036,0.41,Clear,High,Evening,Car,15,0,30.0
