### NUMERIC_STATS
feature,count,mean,std,min,25%,50%,75%,max,dataset,missing_percent
Delivery_Time_min,1000.0,56.732,22.07091528009886,8.0,41.0,55.5,71.0,153.0,real,0.0
Distance_km,1000.0,10.05997,5.696655526120856,0.59,5.105,10.19,15.0175,19.99,real,0.0
Preparation_Time_min,1000.0,16.982,7.204552837031704,5.0,11.0,17.0,23.0,29.0,real,0.0
Courier_Experience_yrs,970.0,4.579381443298969,2.9143939478823078,0.0,2.0,5.0,7.0,9.0,real,3.0
Delivery_Time_min,10000.0,51.55699,14.321508359808684,10.0,41.3,51.5,61.8,101.0,generated,0.0
Distance_km,10000.0,10.0109,5.75996151077944,0.1,4.9775,10.01,14.9725,20.0,generated,0.0
Preparation_Time_min,10000.0,18.3914,6.242187319381967,5.0,14.0,18.0,23.0,35.0,generated,0.0
Courier_Experience_yrs,10000.0,6.9979,7.538181346173676,0.0,1.0,5.0,9.0,30.0,generated,0.0

### CATEGORICAL_DISTRIBUTIONS
dataset,feature,category,percent
real,Traffic_Level,Medium,39.0
real,Traffic_Level,Low,38.3
real,Traffic_Level,High,19.7
real,Traffic_Level,nan,3.0
real,Weather,Clear,47.0
real,Weather,Rainy,20.4
real,Weather,Foggy,10.299999999999999
real,Weather,Snowy,9.700000000000001
real,Weather,Windy,9.6
real,Weather,nan,3.0
real,Time_of_Day,Morning,30.8
real,Time_of_Day,Evening,29.299999999999997
real,Time_of_Day,Afternoon,28.4
real,Time_of_Day,Night,8.5
real,Time_of_Day,nan,3.0
real,Vehicle_Type,Bike,50.3
real,Vehicle_Type,Scooter,30.2
real,Vehicle_Type,Car,19.5
generated,Traffic_Level,Low,39.83
generated,Traffic_Level,Medium,39.81
generated,Traffic_Level,High,20.36
generated,Weather,Clear,48.730000000000004
generated,Weather,Rainy,21.36
generated,Weather,Foggy,10.52
generated,Weather,Windy,9.77
generated,Weather,Snowy,9.62
generated,Time_of_Day,Morning,31.419999999999998
generated,Time_of_Day,Afternoon,30.049999999999997
generated,Time_of_Day,Evening,29.970000000000002
generated,Time_of_Day,Night,8.559999999999999
generated,Vehicle_Type,Bike,49.7
generated,Vehicle_Type,Scooter,30.919999999999998
generated,Vehicle_Type,Car,19.38
